consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria
150.9,True,9,Apartamento,5,Moderado
399.3,False,21,Casa,9,Moderado
50.8,False,2,Comercial,1,Moderado
192.8,True,12,Apartamento,11,Ineficiente
270.2,True,20,Casa,6,Moderado
803.6,True,23,Comercial,7,Ineficiente
103.3,False,7,Apartamento,2,Eficiente
171.7,False,16,Apartamento,6,Eficiente
80.8,False,6,Casa,0,Eficiente
82.8,True,4,Casa,11,Ineficiente
157.6,True,10,Casa,9,Ineficiente
814.2,False,22,Comercial,5,Ineficiente
275.4,True,17,Apartamento,10,Ineficiente
203.6,False,13,Apartamento,10,Moderado
124.9,True,8,Casa,1,Eficiente
101.3,True,5,Casa,0,Moderado
142.1,False,8,Apartamento,3,Eficiente
67.9,False,5,Casa,0,Eficiente
75.2,False,6,Apartamento,7,Eficiente
200.1,True,17,Apartamento,6,Eficiente
65.5,False,5,Apartamento,6,Eficiente
61.9,False,3,Casa,0,Moderado
413.5,False,14,Comercial,11,Ineficiente
250.2,False,8,Comercial,12,Ineficiente
149.3,False,12,Apartamento,7,Eficiente
70.6,False,5,Casa,0,Eficiente
92.9,True,6,Casa,5,Moderado
262.6,True,12,Casa,9,Ineficiente
324.8,False,17,Casa,9,Moderado
142.7,True,11,Apartamento,3,Eficiente
230.1,True,14,Apartamento,10,Ineficiente
310.2,False,14,Comercial,12,Ineficiente
122.7,True,8,Casa,6,Moderado
120.7,False,8,Casa,4,Eficiente
255.7,False,11,Casa,6,Ineficiente
40.5,True,2,Casa,0,Moderado
327.6,False,17,Casa,6,Moderado
202.5,True,16,Casa,0,Eficiente
131.3,False,9,Casa,0,Eficiente
151.4,False,10,Apartamento,7,Eficiente
150.3,True,9,Casa,6,Moderado
281.0,True,16,Apartamento,12,Ineficiente
308.2,True,19,Apartamento,6,Moderado
69.7,True,4,Casa,12,Ineficiente
177.1,True,11,Apartamento,10,Ineficiente
36.0,False,2,Apartamento,4,Moderado
210.9,True,12,Casa,12,Ineficiente
136.8,False,7,Casa,6,Moderado
157.7,True,9,Apartamento,7,Ineficiente
183.4,False,12,Casa,1,Eficiente
199.6,True,9,Casa,2,Ineficiente
150.2,True,11,Casa,6,Moderado
289.7,False,19,Apartamento,3,Eficiente
327.5,True,20,Apartamento,7,Moderado
29.9,False,2,Apartamento,1,Eficiente
139.6,True,10,Apartamento,3,Eficiente
404.6,False,21,Casa,8,Moderado
155.0,False,14,Apartamento,7,Eficiente
89.6,False,6,Casa,12,Moderado
232.7,True,15,Casa,11,Ineficiente
74.1,True,5,Apartamento,10,Moderado
34.7,True,2,Casa,0,Moderado
189.7,True,16,Apartamento,7,Eficiente
223.8,True,13,Apartamento,2,Moderado
245.9,False,19,Apartamento,3,Eficiente
121.9,False,9,Apartamento,2,Eficiente
278.1,False,21,Apartamento,5,Eficiente
160.2,True,11,Casa,1,Eficiente
369.0,True,18,Casa,6,Ineficiente
69.8,False,4,Casa,2,Eficiente
51.1,True,4,Casa,6,Eficiente
460.2,True,20,Casa,8,Ineficiente
749.4,False,21,Comercial,2,Ineficiente
469.5,False,23,Casa,1,Moderado
197.9,False,9,Casa,10,Ineficiente
44.8,True,2,Casa,9,Ineficiente
389.9,False,24,Casa,3,Eficiente
224.0,True,15,Apartamento,11,Ineficiente
104.4,True,7,Apartamento,2,Eficiente
228.9,False,19,Apartamento,12,Eficiente
256.6,True,22,Apartamento,1,Eficiente
110.6,False,8,Casa,8,Eficiente
291.4,True,19,Apartamento,0,Eficiente
420.7,True,20,Casa,2,Ineficiente
270.6,False,13,Casa,5,Moderado
256.3,True,16,Casa,1,Moderado
92.2,False,8,Apartamento,5,Eficiente
402.5,True,23,Casa,3,Moderado
444.1,False,24,Casa,1,Eficiente
420.5,True,24,Apartamento,12,Ineficiente
396.9,True,18,Casa,12,Ineficiente
35.0,False,2,Apartamento,12,Moderado
217.8,True,10,Casa,2,Ineficiente
276.2,True,12,Casa,4,Ineficiente
423.1,False,24,Casa,4,Moderado
142.8,False,14,Apartamento,4,Eficiente
189.0,False,14,Casa,5,Eficiente
84.1,False,5,Casa,6,Moderado
307.7,False,20,Casa,6,Eficiente
216.5,False,9,Comercial,3,Ineficiente
152.6,False,4,Comercial,12,Ineficiente
274.6,True,24,Apartamento,12,Moderado
137.8,True,6,Casa,4,Ineficiente
69.4,False,2,Comercial,2,Ineficiente
45.6,False,3,Apartamento,6,Eficiente
185.7,False,12,Apartamento,4,Eficiente
64.7,True,4,Casa,12,Ineficiente
411.2,True,21,Casa,5,Ineficiente
190.0,False,13,Casa,0,Eficiente
340.9,False,9,Comercial,1,Ineficiente
31.7,True,2,Casa,0,Eficiente
199.6,False,13,Casa,4,Eficiente
101.4,False,5,Casa,4,Moderado
367.5,False,24,Apartamento,11,Moderado
139.8,True,8,Casa,11,Ineficiente
388.6,False,12,Comercial,1,Ineficiente
22.3,False,2,Apartamento,12,Eficiente
77.3,False,5,Apartamento,7,Eficiente
93.1,True,6,Casa,3,Moderado
36.3,False,3,Apartamento,5,Eficiente
200.9,False,18,Apartamento,5,Eficiente
289.6,True,23,Apartamento,2,Eficiente
388.3,True,24,Casa,11,Ineficiente
140.0,False,8,Casa,0,Eficiente
293.1,False,20,Casa,0,Eficiente
190.9,True,13,Casa,3,Moderado
55.4,True,3,Casa,1,Moderado
56.0,True,4,Casa,0,Eficiente
280.6,False,14,Casa,4,Moderado
195.0,False,11,Apartamento,4,Moderado
34.4,True,2,Casa,1,Moderado
856.1,True,23,Comercial,10,Ineficiente
191.3,True,18,Apartamento,11,Eficiente
169.8,False,13,Casa,9,Eficiente
380.6,False,24,Apartamento,6,Eficiente
499.7,False,24,Casa,12,Ineficiente
868.2,True,24,Comercial,4,Ineficiente
92.5,True,7,Casa,5,Eficiente
359.2,True,22,Apartamento,0,Moderado
216.7,False,13,Casa,9,Moderado
285.8,False,18,Casa,1,Eficiente
303.8,False,21,Casa,8,Eficiente
194.6,True,5,Comercial,10,Ineficiente
124.0,False,12,Apartamento,2,Eficiente
86.1,True,4,Casa,7,Ineficiente
156.1,False,8,Casa,3,Moderado
225.9,False,11,Casa,5,Moderado
331.3,False,21,Apartamento,6,Eficiente
459.3,False,21,Casa,3,Moderado
145.8,True,10,Casa,10,Moderado
88.3,False,9,Apartamento,5,Eficiente
444.8,True,14,Comercial,6,Ineficiente
361.3,False,22,Casa,10,Moderado
260.2,True,24,Apartamento,2,Eficiente
102.3,True,7,Casa,5,Moderado
75.5,True,6,Apartamento,12,Moderado
240.5,True,18,Casa,5,Eficiente
82.2,False,8,Apartamento,1,Eficiente
105.0,False,6,Apartamento,3,Eficiente
24.8,True,2,Apartamento,12,Moderado
255.3,False,11,Casa,9,Ineficiente
421.9,False,11,Comercial,10,Ineficiente
198.0,True,14,Casa,3,Eficiente
121.9,True,6,Casa,10,Ineficiente
267.2,False,18,Apartamento,5,Eficiente
341.0,False,17,Casa,10,Ineficiente
127.3,True,12,Apartamento,11,Eficiente
68.3,False,6,Apartamento,2,Eficiente
174.6,True,13,Casa,12,Moderado
541.9,True,17,Comercial,8,Ineficiente
232.6,False,10,Casa,9,Ineficiente
123.6,False,8,Apartamento,9,Moderado
263.6,False,13,Casa,2,Moderado
387.2,True,10,Comercial,9,Ineficiente
219.1,True,11,Casa,2,Moderado
130.3,True,10,Casa,3,Eficiente
175.7,True,8,Casa,1,Ineficiente
496.2,True,18,Comercial,2,Ineficiente
252.9,False,12,Comercial,12,Ineficiente
168.7,False,12,Apartamento,4,Eficiente
643.7,False,17,Comercial,5,Ineficiente
256.3,True,10,Comercial,6,Ineficiente
55.7,True,4,Apartamento,9,Moderado
304.0,False,21,Casa,7,Eficiente
30.9,True,3,Apartamento,6,Eficiente
157.1,False,15,Apartamento,10,Eficiente
163.6,True,8,Casa,6,Ineficiente
131.6,False,6,Casa,9,Ineficiente
22.0,False,2,Apartamento,11,Eficiente
345.7,False,22,Casa,8,Moderado
269.6,False,11,Comercial,0,Moderado
116.0,False,9,Casa,3,Eficiente
353.0,True,19,Casa,8,Ineficiente
31.4,False,2,Apartamento,6,Eficiente
274.4,False,14,Casa,3,Moderado
218.3,False,13,Casa,4,Eficiente
202.5,True,14,Apartamento,1,Eficiente
90.8,True,4,Comercial,3,Ineficiente
328.1,False,23,Casa,10,Eficiente
158.6,False,7,Casa,0,Moderado
275.3,True,17,Apartamento,10,Ineficiente
714.6,True,19,Comercial,4,Ineficiente
157.5,True,9,Apartamento,10,Ineficiente
98.1,False,5,Casa,3,Moderado
181.0,True,8,Casa,10,Ineficiente
342.0,True,20,Casa,7,Ineficiente
278.1,True,22,Casa,11,Moderado
237.5,False,23,Apartamento,0,Eficiente
96.5,True,7,Casa,10,Moderado
159.0,True,15,Apartamento,3,Eficiente
63.8,False,5,Apartamento,4,Eficiente
282.4,True,18,Apartamento,0,Eficiente
232.5,False,11,Casa,12,Ineficiente
265.6,False,18,Apartamento,8,Eficiente
187.5,True,17,Apartamento,12,Moderado
386.0,True,24,Apartamento,7,Moderado
213.6,True,13,Casa,2,Moderado
114.7,True,9,Casa,4,Eficiente
364.7,True,14,Comercial,5,Ineficiente
80.9,True,5,Casa,1,Moderado
62.2,True,4,Casa,12,Ineficiente
277.8,False,13,Casa,12,Ineficiente
323.7,True,20,Apartamento,7,Moderado
469.3,True,14,Comercial,7,Ineficiente
267.9,False,19,Casa,9,Eficiente
213.2,True,6,Comercial,8,Ineficiente
239.0,True,12,Casa,0,Moderado
183.0,True,16,Apartamento,6,Eficiente
137.2,True,9,Apartamento,10,Ineficiente
35.6,True,2,Casa,10,Ineficiente
52.0,False,3,Casa,7,Moderado
317.7,False,23,Casa,11,Eficiente
454.9,True,15,Comercial,7,Ineficiente
85.1,True,8,Apartamento,4,Eficiente
167.7,False,7,Comercial,5,Ineficiente
